Mine Code,Mine Name,Commodity,Type,Owner,Tel,District,Province,Farm,Postal
15126,AC STRAUSS,DIAMONDS ALLUVIAL,OPENCAST,LITTLE ROCK TRADING 6 CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,WILDGOOSELODGE 136 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15301,AC STRAUSS,DIAMONDS ALLUVIAL,OPENCAST,AC STRAUSS,(053) 963 2900,SCHWEIZER - RENEKE,NORTH-WEST,MIMOSA 61 HO RE OF 22,PO BOX 309 SCHWEIZER-RENEKE 2780
14545,AFPLATS (PTY) LTD-LEEUWKOP MINE,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",UNDERGROUND,IMPALA PLATINUM HOLDINGS LTD,(014) 569 3802,BRITS,NORTH-WEST,LEEUWKOP 402 JQ,PO BOX 5683 RUSTENBURG 0300
14315,AFRICAN DIAMOND RESOURCES MINING & EXPLORATION,DIAMONDS ALLUVIAL,OPENCAST,AFRICAN DIAMOND RESOURCES MINING & EXPLORATION,(053) 050 0306,SCHWEIZER - RENEKE,NORTH-WEST,"KAMEELKUIL 88 HO PTN 7, KROMPAN 85 HO PTNS 10&11, VAALPOORT 84 HO PTN 6",PO BOX 131 SCHWEIZER RENEKE 2780
10015,AFRISAM (SA) (PTY) LTD,"LIMESTONE, LIME, SHALE FOR CEMENT",OPENCAST,AFRISAM (SA) (PTY) LTD,(018) 633 6000,LICHTENBURG,NORTH-WEST,DUDFIELD 35 IP,PO BOX 600 LICHTENBURG 2740
14538,AMADWALA TRADING 399 CC,DIAMONDS ALLUVIAL,OPENCAST,DRY HARTS DIAMONDS CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,"NOOITGEDACHT 144 HO, ZOETFONTEIN 168 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
15051,AMBER CASCADES TRADING 3 CC,DIAMONDS ALLUVIAL,OPENCAST,AMBER CASCADES TRADING 3 CC,(053) 963 1108,SCHWEIZER - RENEKE,NORTH-WEST,KAMEELKUIL 88 HO,PO BOX 93 SCHWEIZER-RENEKE 2780
15232,AN DELWERY,DIAMONDS ALLUVIAL,OPENCAST,ARNO VAN ZYL,824 404 431,WOLMARANSSTAD,NORTH-WEST,ROOIBULT,PO BOX 186 WOLMARANSSTAD 2630
15118,ANDRE WARD,SAND NATURAL,OPENCAST,ANDRE WARD,083 228 9909,MADIKWE,NORTH-WEST,ZANDFONTEIN 35 JP,PO BOX 1002 ZEERUST 2865
14701,ANGLO PLATINUM UNION CONCENTRATORS,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",SURFACE,ANGLO PLATINUM LTD,(014) 786 1170,RUSTENBURG,NORTH-WEST,,PO BOX 8208 RUSTENBURG 0300
14303,AP STRYDOM,DIAMONDS ALLUVIAL,OPENCAST,AP STRYDOM,(018) 765 1094,VENTERSDORP,NORTH-WEST,RIETVALLEI 130 IQ,PO BOX 31 RYSMIERBULT 2496
15415,ASSEN IRON ORE,IRON ORE,OPENCAST,MANNGWE MINING (PTY) LTD,(012) 643 0313,BRITS,NORTH-WEST,"SWARTHOEK 10 JQ, BUFFELSPOORT 149 JQ, DORINGKLOOF 141 JQ, ASSEN 140 JQ, ASSEN 161 JQ",POSTNET SUITE 268 PRIVATE BAG X 06 WATERKLOOF  0146
10258,ATLAS CLAY (PTY) LTD,KAOLIN,OPENCAST,DIE AJ FAMIELIE TRUST,(018) 294 4604,POTCHEFSTROOM,NORTH-WEST,HAASKRAAL 460 IQ 54 OF 25,PO BOX 1449 POTCHEFSTROOM 2520
15441,ATMOVOX (PTY) LTD,DIMENSION STONE SLATE,OPENCAST,ATMOVOX (PTY) LTD,763 206 713,RUSTENBURG,NORTH-WEST,ROSMINCOL 442 JP,PO BOX 633 KOSTER 0348
15120,AURICO GOLD RECLAMATION (PTY) LTD,GOLD,SURFACE,AURICO GOLD RECLAMATION (PTY) LTD,(018) 468 4098,KLERKSDORP,NORTH-WEST,NOOITGEDACHT 3 & 7 REM,PO BOX 1764 KLERKSDORP 2570
15458,B & E INTERNATIONAL - LONDON,AGGREGATE,OPERATING,LIZIBUZZ (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,LONDON 112 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
10907,B & G SLATE MINING T/A BOKWENA SLATE,DIMENSION STONE SLATE,OPENCAST,B & G SLATE MINING,842 527 011,MADIKWE,NORTH-WEST,BROEKMANSFONTEIN 294 JP,PO BOX 190 GROOT MARICO 2850
13199,BAFOKENG RASIMONE PLATINUM MINE,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR","OPENCAST, UNDERGROUND",ROYAL BAFOKENG RESOURCES (67%) & RUSTENBURG PLATINUM MINES (33%),(014) 573 1497,RUSTENBURG,NORTH-WEST,BOSCHKOPPIE 104 JQ 1 2 & REM,PRIVATE BAG X82085 RUSTENBURG 0300
14875,BAKUBUNG MINERALS (PTY) LTD,PGM,UNDERGROUND,WESIZWE PLATINUM LTD,(011) 994 4600,RUSTENBURG,NORTH-WEST,FRISCHGEWAAGD 96 JQ,PRIVATE BAG X16 NORTHLANDS 2116
10401,BA-MOGOPA GRANITE (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,KELGRAN INVESTMENTS (PTY) LTD,(012) 250 1970,GA-RANKUWA,NORTH-WEST,"HARTEBEESPOORT 410 JQ, LEEUKOP 402 JQ, LOSPERFONTEIN 405 JQ, WOLWEKRAAL 408 JQ, WONDERKOP 400 JQ, PEARL 401 JQ, BERSEBA 397 JQ, BOSPOORT 399 JQ, KAREEPOORT 407 JQ",PO BOX 616 BRITS 0250
14823,BAREND BOUWER,DIAMONDS ALLUVIAL,OPENCAST,PJC PRETORIUS EN SEUN BOERDERY (PTY) LTD,(053) 963 1081,CHRISTIANA,NORTH-WEST,"WELGEDAAN 292 HO, VUURFONTEIN 117 HO, SANDRINGHAN 118 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
12158,BARPLATS MINES LTD,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",UNDERGROUND,EASTERN PLATINUM LTD,(012) 381 1800,BRITS,NORTH-WEST,"BOKFONTEIN 448 JQ, DE KROON 442 JQ, DE KROON 444 JQ, ELANDSFONTEIN 440 JQ, HARTEBEESTFONTEIN 446 JQ, KROKODILDRIFT 446 JQ, ROODEKOPJES OR SWARTKOPPIES 427 JQ, ROODEKOPPIES 417 JQ, ZANDFONTEIN 447 JQ",PO BOX 513 BRITS 0250
15210,BASSFOUR 2782,DIAMONDS ALLUVIAL,OPENCAST,SAREL POTGIETER,083 540 2589,CHRISTIANA,NORTH-WEST,"ZOUTPAN 301 HO, WITGATBOOM 317 HO",PO BOX 627 CHRISTIANA 2680
14604,BATHOPELE MINE,"PGM, GOLD, CHROME ORE, COBALT METAL IC, COPPER, NICKEL, SULPHUR",UNDERGROUND,SIBANYE PLATINUM,(014) 598 3638,RUSTENBURG,NORTH-WEST,WATERVAL 307 JG,PO BOX 1 BLESKOP 0292
14269,BATTON MINING,DIAMONDS ALLUVIAL,OPENCAST,PARADISE CREEK INVESTMENT (PTY) LTD,(018) 264 4705,VENTERSDORP,NORTH-WEST,ROODEPAN 180 IP 7 & RE,PO BOX 711 VENTERSDORP 2710
14738,BAY CITY TRADING 249 CC,DIAMONDS ALLUVIAL,OPENCAST,BAY CITY TRADING 249 CC,(053) 963 1081,WOLMARANSSTAD,NORTH-WEST,"SYFERGAT 204 HO VARIOUS, WELGEVONDEN 203 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
10218,BENADEPLAAS LIMESTONE MINE,"LIMESTONE, LIME",OPENCAST,MATSOPA MINERALS,(011) 878 0343,MADIKWE,NORTH-WEST,"BENADEPLAAS 93 JO E F & G, BENADEPLAAS 98 JQ 5 6 & RE 7",PO BOX 14052 WADEVILLE 1422
15444,BENDER DELWERYE,DIAMONDS ALLUVIAL,OPENCAST,GM BENDER,(018) 596 1804,CHRISTIANA,NORTH-WEST,KATDOORNKRAAL 249 HO VARIOUS,PO BOX 301 WOLMARANSSTAD 2630
15443,BLIGNAUT DELWERY,DIAMONDS ALLUVIAL,OPENCAST,EPS BLIGNAUT,732 696 713,WOLMARANSSTAD,NORTH-WEST,WOLMARANSSTAD TOWN AND TOWNLANDS 184 HO 2,PO BOX 477 OTTOSDAL 2610
14971,BLINK KLIP MINING (PTY) LTD - ZEVENFONTEIN,DIAMONDS ALLUVIAL,OPENCAST,ALEXANDER LOMBARD,(018) 596 2488,CHRISTIANA,NORTH-WEST,ZEVENFONTEIN 240 HO 11,PO BOX 41 WOLMARANSSTAD 2630
15423,BLINKKLIP MINING (PTY) LTD - TWEEBOSCH,DIAMONDS ALLUVIAL,OPENCAST,ALEXANDER LOMBARD,(018) 596 2488,DELAREYVILLE,NORTH-WEST,TWEEBOSCH 318 IO 9,PO BOX 41 WOLMARANSSTAD 2630
14399,BLINKWATER SANDWERKE,SAND NATURAL,OPENCAST,JJC BUITENDAG,082 928 8457,RUSTENBURG,NORTH-WEST,WOODSTOCK 397 JP 19,PO BOX 109 SWARTRUGGENS 2835
13626,BLUE GUM DIAMONDS (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,ROCKWELL DIAMONDS NORTH WEST (PTY) LTD,083 601 1658,VENTERSDORP,NORTH-WEST,"HARTEBEESTLAAGTE 146 IP, NOOITGEDACHT 131 IP 8, ZWARTRAND 145 IP 1 2 3 & RE",PO BOX 20576 NOORDBRUG 2522
15411,BOELA HAASBROEK,DIAMONDS ALLUVIAL,OPENCAST,GLOMIX 109 CC,(053) 963 1081,WOLMARANSSTAD,NORTH-WEST,DOORNHOEK 165 HO VARIUS,PO BOX 1086 SCHWEIZER-RENEKE 2780
13962,BOLTUMELO DIAMONDS (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,SA GEMSTONE (PTY) LTD,082 994 4444,RUSTENBURG,NORTH-WEST,KRUGERSDAL 9 IQ,PO BOX 2288 PARKLANDS 2121
14965,BONACORD GRANITE QUARRY (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,EAGLE GRANITE (PTY) LTD,(011) 803 3910,BRITS,NORTH-WEST,HOEKFONTEIN 432 5Q,PO BOX 6194 RIVONIA 2128
13943,BOSELE DIAMOND CONCESSIONAIRS CC,DIAMONDS ALLUVIAL,OPENCAST,BOSELE DIAMOND CONCESSIONAIRS CC,722 215 693,MMABATHO,NORTH-WEST,MOLOPO MARIBA 308 JO,2263 MZILIKAZI ST MOHLAKENG 1759
14885,BOSHOEK,CHROME ORE,OPENCAST,GLENCORE MERAFE VENTURE,(014) 597 8047,RUSTENBURG,NORTH-WEST,BOSHOEK 301,PO BOX 310 KROONDAL 0350
14220,BOTHA & DU TOIT BOERDERY (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,SONOP DIAMOND MINING,(018) 468 5355,WOLMARANSSTAD,NORTH-WEST,KATDOORNKRAAL 249 HO,PO BOX 6499 FLAMWOOD 2572
14331,BRANDHOEK PROTOKOL 673/2009,DIAMONDS ALLUVIAL,OPENCAST,JD VAN HEERDEN,(018) 293 3875,WOLMARANSSTAD,NORTH-WEST,BRANDHOEK 78 HP 35 OF 34,PO BOX 6754 BAILLIE PARK POTCHEFSTROOM  2526
14069,BRITTENMYN,"LIMESTONE, LIME",OPENCAST,OOS-TVL KALKVERSKAFFERS (EDMS) BPK,(018) 464 7820,CHRISTIANA,NORTH-WEST,"KAREEPAN 298 HQ, KAREEPAN 300 HQ, KAREEPAN 301 HQ",PO BOX 31 KLERKSDORP 2570
15326,BRUWER GRANITE CC,DIMENSION STONE GRANITE,OPENCAST,BRUWER GRANITE CC,083 678 7579,BRITS,NORTH-WEST,"HARTEBEESTPOORT B 410 JQ 969, KAREEPOORT 969",PO BOX 215 SONOP 0258
14130,BUFFELSFONTEIN GM,"GOLD, SILVER",UNDERGROUND,VILLAGE MAIN REEF,(018) 473 7303,KLERKSDORP,NORTH-WEST,"HARTEBEESTFONTEIN 422 IP, GOEDGENOEG 433 IP",PRIVATE BAG X800 STILFONTEIN 2550
12583,BUHRMANSDRIF,"LIMESTONE, LIME",OPENCAST,OOS-TVL KALKVERSKAFFERS (EDMS) BPK,(018) 464 7820,MADIKWE,NORTH-WEST,"BENADEPLAATS 93 JP, WAGENDRIFT 100 JO",PO BOX 31 KLERKSDORP 2570
13928,BURGER EN ROOS DELWERY,DIAMONDS ALLUVIAL,OPENCAST,MANYEDI DIAMOND MINING,(053) 963 1081,WOLMARANSSTAD,NORTH-WEST,VLAKKRAAL 353 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
13942,BUSTIQUE 0160 (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,BUSTIQUE 0160 (PTY) LTD,(018) 011 1212,VENTERSDORP,NORTH-WEST,NOOITGEDACHT 131 IP,PO BOX 568 VENTERSDORP 2710
13897,CANDERO MINING & CONSULTANTS CC,"AGGREGATE, SAND NATURAL",OPENCAST,CANDERO MINING & CONSULTANTS CC,(011) 884 3805,KLERKSDORP,NORTH-WEST,"NOOITGEDACHT 434 IP, STRATHMORE 436 IP",PO BOX 785565 SANDTON 2146
14608,CARE AND MAINTENANCE OPERATIONS,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",UNDERGROUND,ANGLO PLATINUM RUSTENBURG,(014) 598 1106,RUSTENBURG,NORTH-WEST,FRANK SHAFTS 1 & 2,PO BOX 1 BLESKOP 0292
15208,CDB DELWERY CC,DIAMONDS ALLUVIAL,OPENCAST,CCD BOTHA,082 895 3516,WOLMARANSSTAD,NORTH-WEST,BOSCHPLAATS 149 HO,PO BOX 6499 FLAMWWOOD 2572
15260,CH BADENHORST DELWERY,DIAMONDS ALLUVIAL,OPENCAST,CASPER BADENHORST,(053) 433 2030,CHRISTIANA,NORTH-WEST,ZWARTLAAGTE 345 HO,PO BOX 746 BLOEMHOF 2660
14949,CHARLES BOGALE - KLIPKUIL,DIAMONDS ALLUVIAL,OPENCAST,CHARLES BOGALE,732 747 522,LICHTENBURG,NORTH-WEST,KLIPKUIL 352 JP,2318 SITHOLE STREET MOHLAKENE LOCATION RANDFONTEIN  1759
14135,CHARLES MULLER DELWERY,DIAMONDS ALLUVIAL,OPENCAST,IVORY SUN TRADING 2 (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,BAUCHANSVILLE 61 IQ,PO BOX 1086 SCHWEIZER-RENEKE 2780
13172,CHINA AFRICAN PRECIOUS METALS (PTY) LTD,"GOLD, SILVER",UNDERGROUND,PENG XING SHANGHAI & BEK HOLDINGS (PTY) LTD,(018) 473 7900,KLERKSDORP,NORTH-WEST,"GOEDGENOEG 433 IP, KANANA 426 IP, MODDERFONTEIN 440 IP, NOOITGEDAGHT 434 IP, ORKNEY 437 IP, VAALKOP 439 IP, WITKOP 438 IP",PRIVATE BAG X10 ORKNEY 2620
14945,CHRISJAN DIAMANTE CC,DIAMONDS ALLUVIAL,OPENCAST,CHRISJAN DIAMANTE CC,(018) 632 2661,LICHTENBURG,NORTH-WEST,GOEDVOORUITZICHT 120 IP,PO BOX 1287 LICHTENBURG 2740
15420,CHRISMAR DELWERY,DIAMONDS ALLUVIAL,OPENCAST,RAYMOND JOHNSTONE,(053) 963 1081,CHRISTIANA,NORTH-WEST,GELUK 42 HN RE,PO BOX 1086 SCHWEIZER RENEKE 2780
13904,CINLO CC,DIAMONDS ALLUVIAL,OPENCAST,CINLO CC,(053) 963 1108,SCHWEIZER - RENEKE,NORTH-WEST,KOPPIE ALLEEN 221 HO,PO BOX 93 SCHWEIZER-RENEKE 2780
15239,CNC CRUSHERS (PTY) LTD,"AGGREGATE, SAND NATURAL",SURFACE,CED CROUS,(018) 484 1579,KLERKSDORP,NORTH-WEST,HARTEBEESTFONTEIN SHAFT 4 422 IP,PO BOX 1053 STILFONTEIN 2550
15241,CNC CRUSHERS ROADSTONE,"AGGREGATE, SAND NATURAL",OPENCAST,CARL CROUS,(018) 484 1577,KLERKSDORP,NORTH-WEST,"HARTEBEESTFONTEIN SHAFT 5 422 IP, GOEDGENOEG 433 IP",PO BOX 1054 STILFONTEIN 2550
15141,COPPER EAGLE TRADING,DIAMONDS ALLUVIAL,OPENCAST,COPPER EAGLE TRADING,082 852 9041,DELAREYVILLE,NORTH-WEST,ZANDVALLEI 301 IO 6,PO BOX 5 BIESIESVLEI 2755
15157,COPPER SLATE (PTY) LTD,DIMENSION STONE SLATE,OPENCAST,MICHAEL TULLY,082 466 2121,RUSTENBURG,NORTH-WEST,HARTEBEESFONTEIN 450 JP,PO BOX 230 SWARTRUGGENS 2835
14361,CORLINE 117,DIAMONDS ALLUVIAL,OPENCAST,JODEO FOUR (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,DIAMANDFONTEIN 220 HO,PO BOX 1086 SCHWEIZER RENEKE 2780
14806,CORLINE 117 CC,DIAMONDS ALLUVIAL,OPENCAST,TRUSTEES FO THE FERDINANT PIETERSE TRUST,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,PIENAARSFONTEIN 113 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
14984,CORNELIUS JACQUES SWART,DIAMONDS ALLUVIAL,OPENCAST,JACQUES SWART,082 413 9316,WOLMARANSSTAD,NORTH-WEST,VAALBANK 355 HO 12,PO BOX 6499 FLAMWOOD 2570
11432,COROBRIK - BADENHORST QUARRY,"CLAY BRICKMAKING, SHALE BRICKMAKING","OPENCAST, SURFACE",COROBRIK (PTY) LTD,(011) 871 8600,POTCHEFSTROOM,NORTH-WEST,RHENOSTERFONTEIN 559 IQ PTN OF REM,PO BOX 49 GERMISTON 1400
13287,COROBRIK - GOUDKOP QUARRY,"CLAY BRICKMAKING, SHALE BRICKMAKING",SURFACE,COROBRIK (PTY) LTD,(011) 871 8600,KLERKSDORP,NORTH-WEST,FARM 424 IP REM OF 1,C/O COROBRIK (PTY) LTD PO BOX 201367 DURBAN NORTH  4016
12270,COROBRIK - KOPANO QUARRY,"CLAY BRICKMAKING, SHALE BRICKMAKING","OPENCAST, SURFACE",COROBRIK (PTY) LTD,(011) 871 8600,KLERKSDORP,NORTH-WEST,HARTEBEESFONTEIN 422 IP 422 IP 2 OF 1,C/O COROBRIK (PTY) LTD PO BOX 201367 DURBAN NORTH  4016
13289,COROBRIK - MYBURGH QUARRY,"CLAY BRICKMAKING, SHALE BRICKMAKING","OPENCAST, SURFACE",COROBRIK (PTY) LTD,(011) 871 8600,KLERKSDORP,NORTH-WEST,HARTEBEESFONTEIN 422 IP 63 OF 13,C/O COROBRIK (PTY) LTD PO BOX 201367 DURBAN NORTH  4016
13280,COROBRIK - VILJOEN QUARRY,"CLAY BRICKMAKING, SHALE BRICKMAKING","OPENCAST, SURFACE",COROBRIK (PTY) LTD,(011) 871 8600,KLERKSDORP,NORTH-WEST,HARTEBEESFONTEIN 422 IP REM OF 26,C/O COROBRIK (PTY) LTD PO BOX 201367 DURBAN NORTH  4016
14506,COUNTER POINT TRADING 403 (PTY) LTD - LEEUWBOSCH,DIAMONDS ALLUVIAL,OPENCAST,COUNTER POINT TRADING 403 (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,LEEUWBOSCH 236 HO RE OF 1,PO BOX 1086 SCHWEIZER-RENEKE 2780
13158,CRYSTAL BLACK GRANITE (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,NYALA GRANITE MINING (PTY) LTD,(012) 252 3120,BRITS,NORTH-WEST,"HARTEBEESPOORT 410 JQ, 410 JQ VARIOUS",PO BOX 3298 BRITS 0250
15439,CS UYS,DIAMONDS ALLUVIAL,OPENCAST,VAALHARTS & VREDE BOERDERY CC,(053) 963 1081,CHRISTIANA,NORTH-WEST,CATHARINA 44 HN,PO BOX 1086 SCHWEIZER-RENEKE 2780
15306,DAISY DIAMONDS,DIAMONDS ALLUVIAL,OPENCAST,MARIUS NEL,795 274 197,WOLMARANSSTAD,NORTH-WEST,"RIETKUIL 309 IP, DOORNFONTEIN 313 IP",PO BOX 306 HARTBEESFONTEIN 2600
14281,DAL UYS,DIAMONDS ALLUVIAL,OPENCAST,DAL UYS,082 895 3516,WOLMARANSSTAD,NORTH-WEST,RIETKUIL 155 HO,PO BOX 6499 FLAMWOOD 2572
14554,DAL UYS,DIAMONDS ALLUVIAL,OPENCAST,DAL UYS,082 895 3516,WOLMARANSSTAD,NORTH-WEST,ROOIBULT 182 HO,PO BOX 6499 FLAMWOOD 2572
15172,DAL UYS,DIAMONDS ALLUVIAL,OPENCAST,DAL UYS,082 895 3516,WOLMARANSSTAD,NORTH-WEST,HOLLOWAYS RUST 199 HO,PO BOX 6499 FLAMWOOD 2572
15292,DANIE BOTES DELWERY,DIAMONDS ALLUVIAL,OPENCAST,MERICODE (PTY) LTD,071 051 3885,WOLMARANSSTAD,NORTH-WEST,VLAKFONTEIN 37 HP 3,PO BOX 458 WOLMARANSSTAD 2630
14443,DANKIE OUPA DELWERY,DIAMONDS ALLUVIAL,OPENCAST,DANKIE OUPA DELWERY CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,"BOSCHPLAATS 149 HO, VOGELSTRUISKUIL 400 HO, WELVERDIENT 151 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
15429,DANOHER KLIPFONTEIN QUARRY,"AGGREGATE, SAND NATURAL",OPENCAST,TAU PELE CONSTRUCTION (PTY) LTD,824 508 957,WOLMARANSSTAD,NORTH-WEST,KLIPFONTEIN 311 IP RE,25 BLOEMENDAL BLOEMFONTEIN 9301
13984,DESITELF 18 T/A GZ MINING,DIAMONDS ALLUVIAL,OPENCAST,BICCY ARNOLDI,(011) 792 1006,CHRISTIANA,NORTH-WEST,CATHARINA 44 HN,PO BOX 618 FOUNTAINBLEAU 2032
15397,DIGBY PLAIN MINERAL RESOURCES (PTY) LTD,FERROUS METALS ORE,OPENCAST,MI CHIBOO FARMING II (PTY) LTD,(053) 963 1081,VENTERSDORP,NORTH-WEST,DIGBY PLAIN 63 IQ,PO BOX 1086 SCHWEIZER-RENEKE 2780
15305,DIKALONE QUARRY,DIMENSION STONE GRANITE,OPENCAST,BAGOPA GRANITE (PTY) LTD,(012) 252 0120,RUSTENBURG,NORTH-WEST,LEEUWKOP 402 JQ,PO BOX 1 BETHANIE 0270
14658,DIUTLWILENG LAZARUS MOKOENA,DIAMONDS ALLUVIAL,OPENCAST,DIUTLWILENG LAZARUS MOKOENA,731 692 868,MMABATHO,NORTH-WEST,MOLOPO RATSHIDI FARM 302 JO,PO BOX 754 LONELY PARK MAFIKENG  8670
15374,DJG DE BEER,DIAMONDS ALLUVIAL,OPENCAST,PB LAAS,836 268 885,CHRISTIANA,NORTH-WEST,ZWARTLAAGTE 345 HO,PO BOX 193 BLOEMHOF 2660
14632,DJJ VAN ZYL,DIAMONDS ALLUVIAL,OPENCAST,DJJ VAN ZYL,836 323 387,CHRISTIANA,NORTH-WEST,"ZWARTLAAGTE 345 HO RE, KAALPAN 337 HO 7",PO BOX 410 GARSFONTEIN 0042
13816,DLA INVESTMENT SA (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,CELETTE SA (PTY) LTD,(012) 256 4506,BRITS,NORTH-WEST,HARTEBEESPOORT B 410 JQ VARIOUS,PO BOX 1742 BRITS 0250
14627,DOORNHOEK DELWERY,DIAMONDS ALLUVIAL,OPENCAST,DOORNHOEK 777 GLAUDINA (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,DOORNHOEK 165 HO RE OF 42,PO BOX 1081 SCHWEIZER-RENEKE 2780
13871,DS SNYDERS,DIAMONDS ALLUVIAL,OPENCAST,DS SNYDERS,(053) 963 1081,CHRISTIANA,NORTH-WEST,OLIEVENFONTEIN 114 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15199,DU PREEZ DELWERY,DIAMONDS ALLUVIAL,OPENCAST,DU PREEZ GERHARD,832 359 383,WOLMARANSSTAD,NORTH-WEST,PALMIETFONTEIN,PO BOX 914 WOLMARANSSTAD 2630
14528,DUMELA DIAMONDS,DIAMONDS ALLUVIAL,OPENCAST,DUMELA DIAMONDS,(053) 963 1108,CHRISTIANA,NORTH-WEST,BLESBOK 143 HO,PO BOX 93 SCHWEIZER-RENEKE 2780
15362,DZN DIAMANTE (EDMS) BPK,DIAMONDS ALLUVIAL,OPENCAST,HP VAN HEERDEN,825 702 602,CHRISTIANA,NORTH-WEST,"STERKFONTEIN 155 IP 10 & 14, SCHOONGEZICHT 102 HO 2 & 5",13TH AVENUE 27 LICHTENBURG 2740
14142,EDMAC MINING & CONSTRUCTION,DIAMONDS ALLUVIAL,OPENCAST,EDMAC MINING & CONSTRUCTION (PTY) LTD,083 652 4606,WOLMARANSSTAD,NORTH-WEST,ZOUTPAN 212 HO,PO BOX  767 WOLMARANSSTAD 2630
14427,ELAND PLATINUM MINE (PTY) LTD,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",OPENCAST,GLENCORE,(014) 590 2422,BRITS,NORTH-WEST,ELANDSFONTEIN 440 JQ,PRIVATE BAG X82288 RUSTENBURG 0300
